enNu(GeV),kappa_inf,kappa_th,kappa_h,kappa_10,kappa_1
1.000000e+02,1.639249e-29,2.676325e-28,2.221350e-27,8.243081e-27,1.083912e-26
1.324193e+02,1.639249e-29,2.676325e-28,2.221350e-27,8.243081e-27,1.083912e-26
1.753487e+02,3.351041e-23,5.471088e-22,4.541003e-21,1.685095e-20,2.215791e-20
2.321954e+02,1.639249e-29,2.676325e-28,2.221350e-27,8.243081e-27,1.083912e-26
3.074715e+02,1.111020e-22,1.813910e-21,1.505545e-20,5.586843e-20,7.346336e-20
4.071516e+02,1.108612e-21,1.809979e-20,1.502282e-19,5.574735e-19,7.330414e-19
5.391472e+02,2.591625e-21,4.231224e-20,3.511916e-19,1.303217e-18,1.713646e-18
7.139348e+02,7.113958e-21,1.161463e-19,9.640139e-19,3.577305e-18,4.703923e-18
9.453873e+02,8.232563e-21,1.344092e-19,1.115596e-18,4.139803e-18,5.443572e-18
1.251875e+03,9.139558e-21,1.492173e-19,1.238503e-18,4.595892e-18,6.043300e-18
1.657724e+03,1.558144e-20,2.543909e-19,2.111444e-18,7.835238e-18,1.030283e-17
2.195146e+03,1.687308e-20,2.754789e-19,2.286475e-18,8.484750e-18,1.115690e-17
2.906797e+03,3.553835e-20,5.802179e-19,4.815808e-18,1.787071e-17,2.349882e-17
3.849159e+03,5.601898e-20,9.145957e-19,7.591144e-18,2.816955e-17,3.704112e-17
5.097029e+03,8.121616e-20,1.325978e-18,1.100562e-17,4.084013e-17,5.370212e-17
6.749449e+03,1.825302e-19,2.980085e-18,2.473471e-17,9.178663e-17,1.206935e-16
8.937571e+03,2.900189e-19,4.735002e-18,3.930052e-17,1.458381e-16,1.917676e-16
1.183507e+04,4.377618e-19,7.147132e-18,5.932119e-17,2.201317e-16,2.894588e-16
1.567191e+04,6.351586e-19,1.036994e-17,8.607047e-17,3.193940e-16,4.199824e-16
2.075263e+04,1.035367e-18,1.690395e-17,1.403028e-16,5.206416e-16,6.846099e-16
2.748048e+04,2.046774e-18,3.341672e-17,2.773587e-16,1.029235e-15,1.353377e-15
3.638946e+04,3.419885e-18,5.583486e-17,4.634293e-16,1.719714e-15,2.261312e-15
4.818666e+04,5.568698e-18,9.091752e-17,7.546155e-16,2.800260e-15,3.682160e-15
6.380843e+04,9.201744e-18,1.502326e-16,1.246930e-15,4.627163e-15,6.084419e-15
8.449466e+04,1.224982e-17,1.999971e-16,1.659976e-15,6.159912e-15,8.099884e-15
1.118872e+05,1.858225e-17,3.033836e-16,2.518084e-15,9.344215e-15,1.228704e-14
1.481603e+05,2.837327e-17,4.632371e-16,3.844868e-15,1.426770e-14,1.876110e-14
1.961927e+05,4.790723e-17,7.821588e-16,6.491918e-15,2.409049e-14,3.167743e-14
2.597970e+05,6.387259e-17,1.042818e-15,8.655388e-15,3.211879e-14,4.223412e-14
3.440213e+05,9.534435e-17,1.556642e-15,1.292013e-14,4.794459e-14,6.304402e-14
4.555506e+05,1.037946e-16,1.694606e-15,1.406523e-14,5.219388e-14,6.863156e-14
6.032368e+05,9.081681e-17,1.482723e-15,1.230660e-14,4.566788e-14,6.005030e-14
7.988018e+05,5.829927e-17,9.518248e-16,7.900146e-15,2.931620e-14,3.854890e-14
1.057768e+06,1.569977e-17,2.563228e-16,2.127480e-15,7.894744e-15,1.038108e-14
1.400688e+06,6.744016e-18,1.101064e-16,9.138830e-16,3.391277e-15,4.459309e-15
1.854781e+06,8.435101e-18,1.377159e-16,1.143042e-15,4.241651e-15,5.577495e-15
2.456088e+06,9.756713e-18,1.592933e-16,1.322134e-15,4.906233e-15,6.451378e-15
3.252334e+06,1.381254e-17,2.255109e-16,1.871741e-15,6.945736e-15,9.133192e-15
4.306717e+06,1.545123e-17,2.522650e-16,2.093800e-15,7.769763e-15,1.021673e-14
5.702924e+06,3.618352e-17,5.907513e-16,4.903236e-15,1.819514e-14,2.392543e-14
7.551770e+06,7.236792e-17,1.181517e-15,9.806592e-15,3.639073e-14,4.785144e-14
1.000000e+07,1.051057e-16,1.716011e-15,1.424289e-14,5.285314e-14,6.949844e-14
1.324193e+07,2.120020e-16,3.461257e-15,2.872844e-14,1.066067e-13,1.401809e-13
1.753487e+07,2.821830e-16,4.607069e-15,3.823868e-14,1.418977e-13,1.865863e-13
2.321954e+07,4.733386e-16,7.727977e-15,6.414221e-14,2.380217e-13,3.129831e-13
3.074715e+07,6.972724e-16,1.138404e-14,9.448752e-14,3.506284e-13,4.610536e-13
4.071516e+07,1.505841e-15,2.458515e-14,2.040568e-13,7.572227e-13,9.956987e-13
5.391472e+07,2.815574e-15,4.596856e-14,3.815390e-13,1.415832e-12,1.861727e-12
7.139348e+07,5.350880e-15,8.736130e-14,7.250988e-13,2.690728e-12,3.538133e-12
9.453873e+07,6.966515e-15,1.137390e-13,9.440339e-13,3.503162e-12,4.606431e-12
1.251875e+08,9.142144e-15,1.492595e-13,1.238854e-12,4.597192e-12,6.045009e-12
1.657724e+08,8.145296e-15,1.329844e-13,1.103771e-12,4.095920e-12,5.385869e-12
2.195146e+08,6.564032e-15,1.071679e-13,8.894933e-13,3.300770e-12,4.340299e-12
2.906797e+08,6.018917e-15,9.826804e-14,8.156247e-13,3.026655e-12,3.979855e-12
3.849159e+08,5.607885e-15,9.155731e-14,7.599257e-13,2.819965e-12,3.708071e-12
5.097029e+08,6.058227e-15,9.890983e-14,8.209516e-13,3.046423e-12,4.005848e-12
6.749449e+08,3.274386e-14,5.345936e-13,4.437127e-12,1.646548e-11,2.165104e-11
8.937571e+08,3.798307e-14,6.201318e-13,5.147094e-12,1.910006e-11,2.511534e-11
1.183507e+09,3.790288e-14,6.188225e-13,5.136227e-12,1.905973e-11,2.506231e-11
1.567191e+09,3.663655e-14,5.981478e-13,4.964627e-12,1.842295e-11,2.422498e-11
2.075263e+09,4.347036e-14,7.097201e-13,5.890677e-12,2.185938e-11,2.874366e-11
2.748048e+09,3.905172e-14,6.375791e-13,5.291906e-12,1.963744e-11,2.582195e-11
3.638946e+09,3.498190e-14,5.711331e-13,4.740405e-12,1.759090e-11,2.313089e-11
4.818666e+09,1.825241e-14,2.979985e-13,2.473388e-12,9.178355e-12,1.206894e-11
6.380843e+09,3.719497e-15,6.072648e-14,5.040298e-13,1.870376e-12,2.459422e-12
8.449466e+09,4.353591e-16,7.107903e-15,5.899560e-14,2.189234e-13,2.878701e-13
1.118872e+10,4.432753e-30,7.237147e-29,6.006832e-28,2.229041e-27,2.931045e-27
1.481603e+10,4.432753e-30,7.237147e-29,6.006832e-28,2.229041e-27,2.931045e-27
1.961927e+10,4.432753e-30,7.237147e-29,6.006832e-28,2.229041e-27,2.931045e-27
2.597970e+10,4.432753e-30,7.237147e-29,6.006832e-28,2.229041e-27,2.931045e-27
3.440213e+10,4.432753e-30,7.237147e-29,6.006832e-28,2.229041e-27,2.931045e-27
4.555506e+10,4.432753e-30,7.237147e-29,6.006832e-28,2.229041e-27,2.931045e-27
6.032368e+10,4.432753e-30,7.237147e-29,6.006832e-28,2.229041e-27,2.931045e-27
7.988018e+10,4.432753e-30,7.237147e-29,6.006832e-28,2.229041e-27,2.931045e-27
1.057768e+11,4.432753e-30,7.237147e-29,6.006832e-28,2.229041e-27,2.931045e-27
1.400688e+11,4.432753e-30,7.237147e-29,6.006832e-28,2.229041e-27,2.931045e-27
1.854781e+11,4.432753e-30,7.237147e-29,6.006832e-28,2.229041e-27,2.931045e-27
2.456088e+11,4.432753e-30,7.237147e-29,6.006832e-28,2.229041e-27,2.931045e-27
3.252334e+11,4.432753e-30,7.237147e-29,6.006832e-28,2.229041e-27,2.931045e-27
