enNu(GeV),kappa_inf,kappa_th,kappa_h,kappa_10,kappa_1
1.000000e+02,1.015325e-28,1.657673e-27,1.375869e-26,5.105633e-26,6.713576e-26
1.324193e+02,1.015325e-28,1.657673e-27,1.375869e-26,5.105633e-26,6.713576e-26
1.753487e+02,1.227220e-19,2.003625e-18,1.663009e-17,6.171165e-17,8.114681e-17
2.321954e+02,1.015325e-28,1.657673e-27,1.375869e-26,5.105633e-26,6.713576e-26
3.074715e+02,2.596228e-19,4.238739e-18,3.518154e-17,1.305532e-16,1.716689e-16
4.071516e+02,2.069377e-18,3.378575e-17,2.804217e-16,1.040601e-15,1.368323e-15
5.391472e+02,3.864303e-18,6.309067e-17,5.236525e-16,1.943193e-15,2.555172e-15
7.139348e+02,8.473238e-18,1.383386e-16,1.148210e-15,4.260828e-15,5.602712e-15
9.453873e+02,7.832713e-18,1.278810e-16,1.061412e-15,3.938736e-15,5.179181e-15
1.251875e+03,6.946105e-18,1.134058e-16,9.412681e-16,3.492899e-15,4.592935e-15
1.657724e+03,9.459382e-18,1.544389e-16,1.281843e-15,4.756718e-15,6.254775e-15
2.195146e+03,8.182549e-18,1.335926e-16,1.108819e-15,4.114653e-15,5.410502e-15
2.906797e+03,1.376672e-17,2.247627e-16,1.865531e-15,6.922693e-15,9.102891e-15
3.849159e+03,1.733435e-17,2.830097e-16,2.348981e-15,8.716700e-15,1.146189e-14
5.097029e+03,2.007492e-17,3.277537e-16,2.720356e-15,1.009481e-14,1.327403e-14
6.749449e+03,3.604002e-17,5.884085e-16,4.883791e-15,1.812298e-14,2.383055e-14
8.937571e+03,4.574204e-17,7.468089e-16,6.198514e-15,2.300171e-14,3.024576e-14
1.183507e+04,5.515263e-17,9.004511e-16,7.473744e-15,2.773389e-14,3.646827e-14
1.567191e+04,6.392188e-17,1.043622e-15,8.662067e-15,3.214357e-14,4.226671e-14
2.075263e+04,8.323397e-17,1.358922e-15,1.127905e-14,4.185480e-14,5.503634e-14
2.748048e+04,1.314363e-16,2.145899e-15,1.781096e-14,6.609367e-14,8.690889e-14
3.638946e+04,1.754268e-16,2.864111e-15,2.377212e-14,8.821462e-14,1.159965e-13
4.818666e+04,2.281798e-16,3.725384e-15,3.092069e-14,1.147418e-13,1.508781e-13
6.380843e+04,3.011845e-16,4.917298e-15,4.081358e-14,1.514528e-13,1.991506e-13
8.449466e+04,3.202811e-16,5.229080e-15,4.340136e-14,1.610557e-13,2.117777e-13
1.118872e+05,3.880956e-16,6.336255e-15,5.259092e-14,1.951567e-13,2.566183e-13
1.481603e+05,4.733572e-16,7.728281e-15,6.414473e-14,2.380310e-13,3.129954e-13
1.961927e+05,6.384393e-16,1.042350e-14,8.651504e-14,3.210438e-13,4.221517e-13
2.597970e+05,6.799424e-16,1.110110e-14,9.213913e-14,3.419139e-13,4.495946e-13
3.440213e+05,8.107586e-16,1.323688e-14,1.098661e-13,4.076958e-13,5.360935e-13
4.555506e+05,7.092652e-16,1.157984e-14,9.611268e-14,3.566591e-13,4.689835e-13
6.032368e+05,4.967690e-16,8.110514e-15,6.731727e-14,2.498038e-13,3.284758e-13
7.988018e+05,2.771158e-16,4.524340e-15,3.755202e-14,1.393497e-13,1.832358e-13
1.057768e+06,8.832023e-17,1.441963e-15,1.196829e-14,4.441246e-14,5.839950e-14
1.400688e+06,7.469346e-17,1.219485e-15,1.012173e-14,3.756014e-14,4.938915e-14
1.854781e+06,1.144385e-16,1.868384e-15,1.550758e-14,5.754622e-14,7.566954e-14
2.456088e+06,1.057364e-16,1.726308e-15,1.432836e-14,5.317029e-14,6.991548e-14
3.252334e+06,1.195731e-16,1.952214e-15,1.620338e-14,6.012820e-14,7.906467e-14
4.306717e+06,1.068469e-16,1.744440e-15,1.447885e-14,5.372874e-14,7.064981e-14
5.702924e+06,1.998705e-16,3.263192e-15,2.708450e-14,1.005063e-13,1.321593e-13
7.551770e+06,3.193178e-16,5.213351e-15,4.327082e-14,1.605712e-13,2.111407e-13
1.000000e+07,3.704607e-16,6.048338e-15,5.020121e-14,1.862888e-13,2.449577e-13
1.324193e+07,5.968910e-16,9.745159e-15,8.088482e-14,3.001509e-13,3.946789e-13
1.753487e+07,6.346363e-16,1.036141e-14,8.599969e-14,3.191314e-13,4.196370e-13
2.321954e+07,8.503643e-16,1.388350e-14,1.152330e-13,4.276118e-13,5.622817e-13
3.074715e+07,1.000632e-15,1.633686e-14,1.355959e-13,5.031751e-13,6.616426e-13
4.071516e+07,1.726196e-15,2.818279e-14,2.339172e-13,8.680300e-13,1.141403e-12
5.391472e+07,2.578203e-15,4.209311e-14,3.493728e-13,1.296468e-12,1.704771e-12
7.139348e+07,3.913942e-15,6.390109e-14,5.303790e-13,1.968154e-12,2.587994e-12
9.453873e+07,4.070463e-15,6.645654e-14,5.515893e-13,2.046861e-12,2.691490e-12
1.251875e+08,4.266928e-15,6.966412e-14,5.782122e-13,2.145655e-12,2.821397e-12
1.657724e+08,3.036778e-15,4.958005e-14,4.115145e-13,1.527066e-12,2.007992e-12
2.195146e+08,1.954861e-15,3.191610e-14,2.649037e-13,9.830160e-13,1.292602e-12
2.906797e+08,1.431867e-15,2.337742e-14,1.940326e-13,7.200245e-13,9.467855e-13
3.849159e+08,1.065669e-15,1.739868e-14,1.444091e-13,5.358794e-13,7.046466e-13
5.097029e+08,9.196189e-16,1.501419e-14,1.246177e-13,4.624369e-13,6.080745e-13
6.749449e+08,2.528431e-14,4.128051e-13,3.426283e-12,1.271440e-11,1.671861e-11
8.937571e+08,2.342882e-14,3.825114e-13,3.174845e-12,1.178135e-11,1.549171e-11
1.183507e+09,1.867547e-14,3.049057e-13,2.530717e-12,9.391095e-12,1.234868e-11
1.567191e+09,1.441959e-14,2.354219e-13,1.954002e-12,7.250996e-12,9.534589e-12
2.075263e+09,1.366692e-14,2.231334e-13,1.852007e-12,6.872509e-12,9.036902e-12
2.748048e+09,9.807462e-15,1.601218e-13,1.329011e-12,4.931752e-12,6.484934e-12
3.638946e+09,7.017767e-15,1.145758e-13,9.509791e-13,3.528934e-12,4.640320e-12
4.818666e+09,2.924925e-15,4.775388e-14,3.963572e-13,1.470820e-12,1.934032e-12
6.380843e+09,4.761215e-16,7.773412e-15,6.451932e-14,2.394211e-13,3.148232e-13
8.449466e+09,4.451642e-17,7.267986e-16,6.032429e-15,2.238540e-14,2.943534e-14
1.118872e+10,4.311352e-30,7.038942e-29,5.842322e-28,2.167994e-27,2.850772e-27
1.481603e+10,4.311352e-30,7.038942e-29,5.842322e-28,2.167994e-27,2.850772e-27
1.961927e+10,4.311352e-30,7.038942e-29,5.842322e-28,2.167994e-27,2.850772e-27
2.597970e+10,4.311352e-30,7.038942e-29,5.842322e-28,2.167994e-27,2.850772e-27
3.440213e+10,4.311352e-30,7.038942e-29,5.842322e-28,2.167994e-27,2.850772e-27
4.555506e+10,4.311352e-30,7.038942e-29,5.842322e-28,2.167994e-27,2.850772e-27
6.032368e+10,4.311352e-30,7.038942e-29,5.842322e-28,2.167994e-27,2.850772e-27
7.988018e+10,4.311352e-30,7.038942e-29,5.842322e-28,2.167994e-27,2.850772e-27
1.057768e+11,4.311352e-30,7.038942e-29,5.842322e-28,2.167994e-27,2.850772e-27
1.400688e+11,4.311352e-30,7.038942e-29,5.842322e-28,2.167994e-27,2.850772e-27
1.854781e+11,4.311352e-30,7.038942e-29,5.842322e-28,2.167994e-27,2.850772e-27
2.456088e+11,4.311352e-30,7.038942e-29,5.842322e-28,2.167994e-27,2.850772e-27
3.252334e+11,4.311352e-30,7.038942e-29,5.842322e-28,2.167994e-27,2.850772e-27
4.306717e+11,4.311352e-30,7.038942e-29,5.842322e-28,2.167994e-27,2.850772e-27
5.702924e+11,4.311352e-30,7.038942e-29,5.842322e-28,2.167994e-27,2.850772e-27
7.551770e+11,4.311352e-30,7.038942e-29,5.842322e-28,2.167994e-27,2.850772e-27
