enNu(GeV),kappa_inf,kappa_th,kappa_h,kappa_10,kappa_1
1.000000e+02,4.079669e-29,6.660685e-28,5.528368e-27,2.051491e-26,2.697577e-26
1.324193e+02,4.079669e-29,6.660685e-28,5.528368e-27,2.051491e-26,2.697577e-26
1.753487e+02,2.027921e-21,3.310892e-20,2.748040e-19,1.019755e-18,1.340911e-18
2.321954e+02,4.079669e-29,6.660685e-28,5.528368e-27,2.051491e-26,2.697577e-26
3.074715e+02,5.370717e-21,8.768518e-20,7.277870e-19,2.700703e-18,3.551250e-18
4.071516e+02,4.789714e-20,7.819941e-19,6.490551e-18,2.408542e-17,3.167076e-17
5.391472e+02,1.000741e-19,1.633863e-18,1.356106e-17,5.032298e-17,6.617144e-17
7.139348e+02,2.455163e-19,4.008430e-18,3.326997e-17,1.234596e-16,1.623414e-16
9.453873e+02,2.539356e-19,4.145888e-18,3.441087e-17,1.276933e-16,1.679085e-16
1.251875e+03,2.519610e-19,4.113649e-18,3.414328e-17,1.267004e-16,1.666028e-16
1.657724e+03,3.839151e-19,6.268001e-18,5.202441e-17,1.930544e-16,2.538541e-16
2.195146e+03,3.715708e-19,6.066461e-18,5.035163e-17,1.868470e-16,2.456917e-16
2.906797e+03,6.994615e-19,1.141978e-17,9.478417e-17,3.517292e-16,4.625011e-16
3.849159e+03,9.854199e-19,1.608849e-17,1.335345e-16,4.955255e-16,6.515838e-16
5.097029e+03,1.276874e-18,2.084693e-17,1.730295e-16,6.420853e-16,8.443005e-16
6.749449e+03,2.564838e-18,4.187490e-17,3.475617e-16,1.289747e-15,1.695934e-15
8.937571e+03,3.642260e-18,5.946547e-17,4.935634e-16,1.831536e-15,2.408351e-15
1.183507e+04,4.913626e-18,8.022246e-17,6.658464e-16,2.470852e-15,3.249010e-15
1.567191e+04,6.371854e-18,1.040303e-16,8.634513e-16,3.204132e-15,4.213226e-15
2.075263e+04,9.283194e-18,1.515623e-16,1.257967e-15,4.668120e-15,6.138275e-15
2.748048e+04,1.640184e-17,2.677851e-16,2.222617e-15,8.247782e-15,1.084530e-14
3.638946e+04,2.449366e-17,3.998965e-16,3.319141e-15,1.231681e-14,1.619581e-14
