enNu(GeV),kappa_inf,kappa_th,kappa_h,kappa_10,kappa_1
1.000000e+02,5.124128e-29,8.365923e-28,6.943716e-27,2.576704e-26,3.388199e-26
1.324193e+02,5.124128e-29,8.365923e-28,6.943716e-27,2.576704e-26,3.388199e-26
1.753487e+02,5.656124e-21,9.234488e-20,7.664625e-19,2.844222e-18,3.739968e-18
2.321954e+02,5.124128e-29,8.365923e-28,6.943716e-27,2.576704e-26,3.388199e-26
3.074715e+02,1.416152e-20,2.312085e-19,1.919031e-18,7.121222e-18,9.363945e-18
4.071516e+02,1.227982e-19,2.004869e-18,1.664041e-17,6.174997e-17,8.119719e-17
5.391472e+02,2.494647e-19,4.072893e-18,3.380501e-17,1.254451e-16,1.649522e-16
7.139348e+02,5.950763e-19,9.715531e-18,8.063891e-17,2.992383e-16,3.934790e-16
9.453873e+02,5.984402e-19,9.770453e-18,8.109476e-17,3.009299e-16,3.957033e-16
1.251875e+03,5.773449e-19,9.426038e-18,7.823612e-17,2.903220e-16,3.817546e-16
1.657724e+03,8.553465e-19,1.396484e-17,1.159082e-16,4.301171e-16,5.655760e-16
2.195146e+03,8.049211e-19,1.314157e-17,1.090750e-16,4.047603e-16,5.322335e-16
2.906797e+03,1.473264e-18,2.405328e-17,1.996423e-16,7.408411e-16,9.741580e-16
3.849159e+03,2.018101e-18,3.294859e-17,2.734733e-16,1.014816e-15,1.334418e-15
5.097029e+03,2.542579e-18,4.151150e-17,3.445454e-16,1.278554e-15,1.681216e-15
6.749449e+03,4.965823e-18,8.107466e-17,6.729196e-16,2.497099e-15,3.283524e-15
8.937571e+03,6.856573e-18,1.119440e-16,9.291356e-16,3.447877e-15,4.533734e-15
1.183507e+04,8.993797e-18,1.468375e-16,1.218751e-15,4.522595e-15,5.946919e-15
1.567191e+04,1.133997e-17,1.851423e-16,1.536681e-15,5.702383e-15,7.498263e-15
2.075263e+04,1.606380e-17,2.622661e-16,2.176808e-15,8.077795e-15,1.062178e-14
2.748048e+04,2.759613e-17,4.505491e-16,3.739558e-15,1.387691e-14,1.824724e-14
3.638946e+04,4.006953e-17,6.541964e-16,5.429830e-15,2.014925e-14,2.649496e-14
4.818666e+04,5.669971e-17,9.257096e-16,7.683390e-15,2.851186e-14,3.749124e-14
6.380843e+04,8.141824e-17,1.329277e-15,1.103300e-14,4.094174e-14,5.383573e-14
8.449466e+04,9.419022e-17,1.537800e-15,1.276374e-14,4.736422e-14,6.228088e-14
1.118872e+05,1.241648e-16,2.027181e-15,1.682560e-14,6.243716e-14,8.210082e-14
1.481603e+05,1.647533e-16,2.689850e-15,2.232575e-14,8.284738e-14,1.089389e-13
1.961927e+05,2.417409e-16,3.946790e-15,3.275836e-14,1.215611e-13,1.598450e-13
2.597970e+05,2.800838e-16,4.572797e-15,3.795422e-14,1.408421e-13,1.851983e-13
3.440213e+05,3.633230e-16,5.931803e-15,4.923397e-14,1.826995e-13,2.402380e-13
4.555506e+05,3.445601e-16,5.625471e-15,4.669141e-14,1.732645e-13,2.278316e-13
6.032368e+05,2.622152e-16,4.281064e-15,3.553283e-14,1.318568e-13,1.733831e-13
