enNu(GeV),kappa_inf,kappa_th,kappa_h,kappa_10,kappa_1
8.449466e+09,5.762854e-16,9.408741e-15,7.809255e-14,2.897892e-13,3.810540e-13
1.118872e+10,4.435563e-30,7.241736e-29,6.010641e-28,2.230455e-27,2.932903e-27
1.481603e+10,4.435563e-30,7.241736e-29,6.010641e-28,2.230455e-27,2.932903e-27
1.961927e+10,4.435563e-30,7.241736e-29,6.010641e-28,2.230455e-27,2.932903e-27
2.597970e+10,4.435563e-30,7.241736e-29,6.010641e-28,2.230455e-27,2.932903e-27
3.440213e+10,4.435563e-30,7.241736e-29,6.010641e-28,2.230455e-27,2.932903e-27
4.555506e+10,4.435563e-30,7.241736e-29,6.010641e-28,2.230455e-27,2.932903e-27
6.032368e+10,4.435563e-30,7.241736e-29,6.010641e-28,2.230455e-27,2.932903e-27
7.988018e+10,4.435563e-30,7.241736e-29,6.010641e-28,2.230455e-27,2.932903e-27
1.057768e+11,4.435563e-30,7.241736e-29,6.010641e-28,2.230455e-27,2.932903e-27
1.400688e+11,4.435563e-30,7.241736e-29,6.010641e-28,2.230455e-27,2.932903e-27
1.854781e+11,4.435563e-30,7.241736e-29,6.010641e-28,2.230455e-27,2.932903e-27
2.456088e+11,4.435563e-30,7.241736e-29,6.010641e-28,2.230455e-27,2.932903e-27
3.252334e+11,4.435563e-30,7.241736e-29,6.010641e-28,2.230455e-27,2.932903e-27
4.306717e+11,4.435563e-30,7.241736e-29,6.010641e-28,2.230455e-27,2.932903e-27
5.702924e+11,4.435563e-30,7.241736e-29,6.010641e-28,2.230455e-27,2.932903e-27
7.551770e+11,4.435563e-30,7.241736e-29,6.010641e-28,2.230455e-27,2.932903e-27
