enNu(GeV),kappa_inf,kappa_th,kappa_h,kappa_10,kappa_1
1.000000e+02,6.435984e-29,1.050773e-27,8.721415e-27,3.236381e-26,4.255630e-26
1.324193e+02,6.435984e-29,1.050773e-27,8.721415e-27,3.236381e-26,4.255630e-26
1.753487e+02,1.577563e-20,2.575614e-19,2.137759e-18,7.932890e-18,1.043124e-17
2.321954e+02,6.435984e-29,1.050773e-27,8.721415e-27,3.236381e-26,4.255630e-26
3.074715e+02,3.734114e-20,6.096512e-19,5.060105e-18,1.877726e-17,2.469087e-17
4.071516e+02,3.148289e-19,5.140064e-18,4.266253e-17,1.583140e-16,2.081726e-16
5.391472e+02,6.218655e-19,1.015291e-17,8.426912e-17,3.127095e-16,4.111927e-16
7.139348e+02,1.442331e-18,2.354826e-17,1.954505e-16,7.252864e-16,9.537045e-16
9.453873e+02,1.410321e-18,2.302565e-17,1.911129e-16,7.091899e-16,9.325387e-16
1.251875e+03,1.322931e-18,2.159888e-17,1.792707e-16,6.652455e-16,8.747546e-16
1.657724e+03,1.905676e-18,3.111307e-17,2.582385e-16,9.582826e-16,1.260079e-15
2.195146e+03,1.743673e-18,2.846813e-17,2.362855e-16,8.768185e-16,1.152959e-15
2.906797e+03,3.103110e-18,5.066301e-17,4.205030e-16,1.560421e-15,2.051852e-15
3.849159e+03,4.132991e-18,6.747740e-17,5.600624e-16,2.078304e-15,2.732835e-15
5.097029e+03,5.062918e-18,8.265989e-17,6.860771e-16,2.545925e-15,3.347726e-15
6.749449e+03,9.614407e-18,1.569699e-16,1.302850e-15,4.834673e-15,6.357281e-15
8.937571e+03,1.290753e-17,2.107352e-16,1.749102e-15,6.490645e-15,8.534777e-15
1.183507e+04,1.646206e-17,2.687683e-16,2.230777e-15,8.278064e-15,1.088512e-14
1.567191e+04,2.018170e-17,3.294971e-16,2.734826e-15,1.014851e-14,1.334463e-14
2.075263e+04,2.779707e-17,4.538297e-16,3.766787e-15,1.397795e-14,1.838010e-14
2.748048e+04,4.643056e-17,7.580500e-16,6.291815e-15,2.334794e-14,3.070102e-14
3.638946e+04,6.555032e-17,1.070209e-15,8.882737e-15,3.296245e-14,4.334348e-14
