enNu(GeV),kappa_inf,kappa_th,kappa_h,kappa_10,kappa_1
1.000000e+02,2.586038e-29,4.222103e-28,3.504346e-27,1.300408e-26,1.709952e-26
1.324193e+02,2.586038e-29,4.222103e-28,3.504346e-27,1.300408e-26,1.709952e-26
1.753487e+02,2.606846e-22,4.256075e-21,3.532542e-20,1.310871e-19,1.723710e-19
2.321954e+02,2.586038e-29,4.222103e-28,3.504346e-27,1.300408e-26,1.709952e-26
3.074715e+02,7.724618e-22,1.261162e-20,1.046765e-19,3.884380e-19,5.107707e-19
4.071516e+02,7.286930e-21,1.189703e-19,9.874533e-19,3.664285e-18,4.818296e-18
5.391472e+02,1.610449e-20,2.629304e-19,2.182322e-18,8.098257e-18,1.064868e-17
7.139348e+02,4.179226e-20,6.823226e-19,5.663277e-18,2.101554e-17,2.763406e-17
9.453873e+02,4.572244e-20,7.464887e-19,6.195857e-18,2.299185e-17,3.023279e-17
1.251875e+03,4.798762e-20,7.834714e-19,6.502813e-18,2.413092e-17,3.173059e-17
1.657724e+03,7.734307e-20,1.262744e-18,1.048077e-17,3.889251e-17,5.114113e-17
2.195146e+03,7.918045e-20,1.292742e-18,1.072976e-17,3.981646e-17,5.235605e-17
2.906797e+03,1.576633e-19,2.574094e-18,2.136498e-17,7.928210e-17,1.042508e-16
3.849159e+03,2.349515e-19,3.835943e-18,3.183833e-17,1.181471e-16,1.553557e-16
5.097029e+03,3.220292e-19,5.257620e-18,4.363825e-17,1.619347e-16,2.129336e-16
6.749449e+03,6.842225e-19,1.117098e-17,9.271913e-17,3.440662e-16,4.524247e-16
8.937571e+03,1.027776e-18,1.678002e-17,1.392742e-16,5.168246e-16,6.795908e-16
1.183507e+04,1.466628e-18,2.394495e-17,1.987431e-16,7.375044e-16,9.697704e-16
1.567191e+04,2.011750e-18,3.284490e-17,2.726126e-16,1.011623e-15,1.330218e-15
2.075263e+04,3.100244e-18,5.061622e-17,4.201146e-16,1.558980e-15,2.049957e-15
2.748048e+04,5.794036e-18,9.459651e-17,7.851511e-16,2.913573e-15,3.831159e-15
3.638946e+04,9.152350e-18,1.494261e-16,1.240237e-15,4.602324e-15,6.051758e-15
4.818666e+04,1.408914e-17,2.300268e-16,1.909223e-15,7.084826e-15,9.316086e-15
6.380843e+04,2.200953e-17,3.593393e-16,2.982516e-15,1.106765e-14,1.455324e-14
8.449466e+04,2.770003e-17,4.522454e-16,3.753637e-15,1.392916e-14,1.831594e-14
1.118872e+05,3.972449e-17,6.485631e-16,5.383074e-15,1.997574e-14,2.626681e-14
1.481603e+05,5.734286e-17,9.362099e-16,7.770542e-15,2.883526e-14,3.791650e-14
1.961927e+05,9.153363e-17,1.494427e-15,1.240374e-14,4.602834e-14,6.052428e-14
2.597970e+05,1.153729e-16,1.883640e-15,1.563421e-14,5.801610e-14,7.628741e-14
3.440213e+05,1.628149e-16,2.658202e-15,2.206308e-14,8.187263e-14,1.076572e-13
4.555506e+05,1.676775e-16,2.737592e-15,2.272201e-14,8.431783e-14,1.108725e-13
6.032368e+05,1.387327e-16,2.265023e-15,1.879969e-14,6.976271e-14,9.173344e-14
7.988018e+05,8.502693e-17,1.388195e-15,1.152202e-14,4.275640e-14,5.622189e-14
1.057768e+06,2.291024e-17,3.740448e-16,3.104572e-15,1.152058e-14,1.514881e-14
1.400688e+06,1.161558e-17,1.896421e-16,1.574029e-15,5.840975e-15,7.680503e-15
1.854781e+06,1.618865e-17,2.643046e-16,2.193728e-15,8.140580e-15,1.070433e-14
2.456088e+06,1.770247e-17,2.890199e-16,2.398865e-15,8.901812e-15,1.170530e-14
