enNu(GeV),kappa_inf,kappa_th,kappa_h,kappa_10,kappa_1
3.252334e+06,2.369265e-17,3.868188e-16,3.210596e-15,1.191402e-14,1.566616e-14
4.306717e+06,2.505606e-17,4.090786e-16,3.395352e-15,1.259962e-14,1.656768e-14
5.702924e+06,5.547155e-17,9.056579e-16,7.516961e-15,2.789426e-14,3.667915e-14
7.551770e+06,1.048855e-16,1.712416e-15,1.421305e-14,5.274241e-14,6.935285e-14
1.000000e+07,1.440141e-16,2.351251e-15,1.951539e-14,7.241854e-14,9.522568e-14
1.324193e+07,2.746178e-16,4.483556e-15,3.721352e-14,1.380935e-13,1.815840e-13
1.753487e+07,3.455647e-16,5.641872e-15,4.682754e-14,1.737697e-13,2.284958e-13
2.321954e+07,5.479996e-16,8.946931e-15,7.425953e-14,2.755655e-13,3.623507e-13
3.074715e+07,7.631686e-16,1.245990e-14,1.034171e-13,3.837648e-13,5.046257e-13
4.071516e+07,1.558141e-15,2.543904e-14,2.111440e-13,7.835224e-13,1.030281e-12
5.391472e+07,2.754257e-15,4.496746e-14,3.732300e-13,1.384998e-12,1.821182e-12
7.139348e+07,4.948487e-15,8.079163e-14,6.705705e-13,2.488382e-12,3.272061e-12
9.453873e+07,6.090776e-15,9.944125e-14,8.253623e-13,3.062790e-12,4.027370e-12
1.251875e+08,7.556398e-15,1.233698e-13,1.023969e-12,3.799789e-12,4.996476e-12
1.657724e+08,6.364780e-15,1.039148e-13,8.624927e-13,3.200575e-12,4.208549e-12
2.195146e+08,4.849054e-15,7.916823e-14,6.570963e-13,2.438381e-12,3.206313e-12
2.906797e+08,4.203533e-15,6.862911e-14,5.696216e-13,2.113776e-12,2.779479e-12
3.849159e+08,3.702584e-15,6.045035e-14,5.017379e-13,1.861871e-12,2.448239e-12
5.097029e+08,3.781474e-15,6.173835e-14,5.124283e-13,1.901541e-12,2.500403e-12
6.749449e+08,3.069447e-14,5.011342e-13,4.159414e-12,1.543493e-11,2.029594e-11
8.937571e+08,3.366125e-14,5.495714e-13,4.561442e-12,1.692680e-11,2.225764e-11
1.183507e+09,3.175573e-14,5.184608e-13,4.303225e-12,1.596859e-11,2.099766e-11
1.567191e+09,2.901845e-14,4.737706e-13,3.932296e-12,1.459213e-11,1.918771e-11
2.075263e+09,3.255087e-14,5.314427e-13,4.410975e-12,1.636844e-11,2.152343e-11
2.748048e+09,2.764517e-14,4.513497e-13,3.746203e-12,1.390157e-11,1.827966e-11
3.638946e+09,2.341167e-14,3.822313e-13,3.172520e-12,1.177272e-11,1.548037e-11
4.818666e+09,1.154832e-14,1.885440e-13,1.564915e-12,5.807156e-12,7.636033e-12
6.380843e+09,2.224808e-15,3.632340e-14,3.014842e-13,1.118761e-12,1.471098e-12
8.449466e+09,2.461874e-16,4.019386e-15,3.336090e-14,1.237971e-13,1.627851e-13
1.118872e+10,4.402086e-30,7.187079e-29,5.965276e-28,2.213620e-27,2.910767e-27
1.481603e+10,4.402086e-30,7.187079e-29,5.965276e-28,2.213620e-27,2.910767e-27
1.961927e+10,4.402086e-30,7.187079e-29,5.965276e-28,2.213620e-27,2.910767e-27
2.597970e+10,4.402086e-30,7.187079e-29,5.965276e-28,2.213620e-27,2.910767e-27
3.440213e+10,4.402086e-30,7.187079e-29,5.965276e-28,2.213620e-27,2.910767e-27
4.555506e+10,4.402086e-30,7.187079e-29,5.965276e-28,2.213620e-27,2.910767e-27
6.032368e+10,4.402086e-30,7.187079e-29,5.965276e-28,2.213620e-27,2.910767e-27
7.988018e+10,4.402086e-30,7.187079e-29,5.965276e-28,2.213620e-27,2.910767e-27
1.057768e+11,4.402086e-30,7.187079e-29,5.965276e-28,2.213620e-27,2.910767e-27
1.400688e+11,4.402086e-30,7.187079e-29,5.965276e-28,2.213620e-27,2.910767e-27
1.854781e+11,4.402086e-30,7.187079e-29,5.965276e-28,2.213620e-27,2.910767e-27
2.456088e+11,4.402086e-30,7.187079e-29,5.965276e-28,2.213620e-27,2.910767e-27
3.252334e+11,4.402086e-30,7.187079e-29,5.965276e-28,2.213620e-27,2.910767e-27
4.306717e+11,4.402086e-30,7.187079e-29,5.965276e-28,2.213620e-27,2.910767e-27
5.702924e+11,4.402086e-30,7.187079e-29,5.965276e-28,2.213620e-27,2.910767e-27
7.551770e+11,4.402086e-30,7.187079e-29,5.965276e-28,2.213620e-27,2.910767e-27
