enNu(GeV),kappa_inf,kappa_th,kappa_h,kappa_10,kappa_1
1.000000e+02,2.058922e-29,3.361506e-28,2.790050e-27,1.035344e-26,1.361410e-26
1.324193e+02,2.058922e-29,3.361506e-28,2.790050e-27,1.035344e-26,1.361410e-26
1.753487e+02,9.346468e-23,1.525954e-21,1.266542e-20,4.699938e-20,6.180114e-20
2.321954e+02,2.058922e-29,3.361506e-28,2.790050e-27,1.035344e-26,1.361410e-26
3.074715e+02,2.929540e-22,4.782922e-21,3.969826e-20,1.473140e-19,1.937084e-19
4.071516e+02,2.842249e-21,4.640406e-20,3.851537e-19,1.429245e-18,1.879364e-18
5.391472e+02,6.460402e-21,1.054760e-19,8.754504e-19,3.248659e-18,4.271776e-18
7.139348e+02,1.724263e-20,2.815124e-19,2.336553e-18,8.670581e-18,1.140125e-17
9.453873e+02,1.940136e-20,3.167569e-19,2.629083e-18,9.756113e-18,1.282866e-17
1.251875e+03,2.094244e-20,3.419173e-19,2.837914e-18,1.053105e-17,1.384765e-17
1.657724e+03,3.471479e-20,5.667720e-19,4.704208e-18,1.745658e-17,2.295427e-17
2.195146e+03,3.655158e-20,5.967606e-19,4.953113e-18,1.838023e-17,2.416880e-17
2.906797e+03,7.485380e-20,1.222103e-18,1.014345e-17,3.764077e-17,4.949517e-17
3.849159e+03,1.147247e-19,1.873056e-18,1.554636e-17,5.769011e-17,7.585875e-17
5.097029e+03,1.617219e-19,2.640358e-18,2.191497e-17,8.132302e-17,1.069345e-16
6.749449e+03,3.533996e-19,5.769790e-18,4.788925e-17,1.777095e-16,2.336765e-16
8.937571e+03,5.459620e-19,8.913665e-18,7.398342e-17,2.745409e-16,3.610035e-16
1.183507e+04,8.012701e-19,1.308196e-17,1.085803e-16,4.029244e-16,5.298194e-16
1.567191e+04,1.130389e-18,1.845534e-17,1.531793e-16,5.684244e-16,7.474412e-16
2.075263e+04,1.791616e-18,2.925088e-17,2.427823e-16,9.009271e-16,1.184661e-15
2.748048e+04,3.443702e-18,5.622370e-17,4.666567e-16,1.731690e-15,2.277060e-15
3.638946e+04,5.594639e-18,9.134104e-17,7.581306e-16,2.813304e-15,3.699312e-15
4.818666e+04,8.857662e-18,1.446149e-16,1.200304e-15,4.454139e-15,5.856903e-15
6.380843e+04,1.423117e-17,2.323456e-16,1.928468e-15,7.156243e-15,9.409995e-15
8.449466e+04,1.842065e-17,3.007454e-16,2.496187e-15,9.262958e-15,1.218019e-14
1.118872e+05,2.716929e-17,4.435802e-16,3.681716e-15,1.366227e-14,1.796500e-14
1.481603e+05,4.033614e-17,6.585493e-16,5.465959e-15,2.028332e-14,2.667125e-14
1.961927e+05,6.622026e-17,1.081147e-15,8.973520e-15,3.329933e-14,4.378645e-14
