enNu(GeV),kappa_inf,kappa_th,kappa_h,kappa_10,kappa_1
8.449466e+09,5.919856e-17,9.665071e-16,8.022009e-15,2.976842e-14,3.914354e-14
1.118872e+10,4.326344e-30,7.063418e-29,5.862637e-28,2.175533e-27,2.860684e-27
1.481603e+10,4.326344e-30,7.063418e-29,5.862637e-28,2.175533e-27,2.860684e-27
1.961927e+10,4.326344e-30,7.063418e-29,5.862637e-28,2.175533e-27,2.860684e-27
2.597970e+10,4.326344e-30,7.063418e-29,5.862637e-28,2.175533e-27,2.860684e-27
3.440213e+10,4.326344e-30,7.063418e-29,5.862637e-28,2.175533e-27,2.860684e-27
4.555506e+10,4.326344e-30,7.063418e-29,5.862637e-28,2.175533e-27,2.860684e-27
6.032368e+10,4.326344e-30,7.063418e-29,5.862637e-28,2.175533e-27,2.860684e-27
7.988018e+10,4.326344e-30,7.063418e-29,5.862637e-28,2.175533e-27,2.860684e-27
1.057768e+11,4.326344e-30,7.063418e-29,5.862637e-28,2.175533e-27,2.860684e-27
1.400688e+11,4.326344e-30,7.063418e-29,5.862637e-28,2.175533e-27,2.860684e-27
1.854781e+11,4.326344e-30,7.063418e-29,5.862637e-28,2.175533e-27,2.860684e-27
2.456088e+11,4.326344e-30,7.063418e-29,5.862637e-28,2.175533e-27,2.860684e-27
3.252334e+11,4.326344e-30,7.063418e-29,5.862637e-28,2.175533e-27,2.860684e-27
4.306717e+11,4.326344e-30,7.063418e-29,5.862637e-28,2.175533e-27,2.860684e-27
5.702924e+11,4.326344e-30,7.063418e-29,5.862637e-28,2.175533e-27,2.860684e-27
7.551770e+11,4.326344e-30,7.063418e-29,5.862637e-28,2.175533e-27,2.860684e-27
