enNu(GeV),kappa_inf,kappa_th,kappa_h,kappa_10,kappa_1
1.000000e+02,3.248104e-29,5.303027e-28,4.401513e-27,1.633332e-26,2.147726e-26
1.324193e+02,3.248104e-29,5.303027e-28,4.401513e-27,1.633332e-26,2.147726e-26
1.753487e+02,7.270817e-22,1.187072e-20,9.852699e-20,3.656182e-19,4.807642e-19
2.321954e+02,3.248104e-29,5.303027e-28,4.401513e-27,1.633332e-26,2.147726e-26
3.074715e+02,2.036829e-21,3.325436e-20,2.760112e-19,1.024234e-18,1.346801e-18
4.071516e+02,1.868216e-20,3.050149e-19,2.531623e-18,9.394458e-18,1.235310e-17
5.391472e+02,4.014526e-20,6.554329e-19,5.440093e-18,2.018733e-17,2.654503e-17
7.139348e+02,1.012950e-19,1.653796e-18,1.372651e-17,5.093693e-17,6.697875e-17
9.453873e+02,1.077523e-19,1.759221e-18,1.460153e-17,5.418401e-17,7.124845e-17
1.251875e+03,1.099591e-19,1.795251e-18,1.490058e-17,5.529373e-17,7.270766e-17
1.657724e+03,1.723171e-19,2.813340e-18,2.335072e-17,8.665086e-17,1.139403e-16
2.195146e+03,1.715259e-19,2.800423e-18,2.324351e-17,8.625303e-17,1.134171e-16
2.906797e+03,3.320834e-19,5.421770e-18,4.500069e-17,1.669905e-16,2.195817e-16
3.849159e+03,4.811714e-19,7.855860e-18,6.520364e-17,2.419605e-16,3.181623e-16
5.097029e+03,6.412416e-19,1.046925e-17,8.689478e-17,3.224529e-16,4.240047e-16
6.749449e+03,1.324734e-18,2.162831e-17,1.795150e-16,6.661519e-16,8.759465e-16
8.937571e+03,1.934794e-18,3.158847e-17,2.621843e-16,9.729250e-16,1.279333e-15
1.183507e+04,2.684485e-18,4.382833e-17,3.637751e-16,1.349913e-15,1.775047e-15
1.567191e+04,3.580304e-18,5.845394e-17,4.851677e-16,1.800381e-15,2.367385e-15
2.075263e+04,5.364715e-18,8.758718e-17,7.269736e-16,2.697685e-15,3.547281e-15
2.748048e+04,9.748480e-18,1.591589e-16,1.321018e-15,4.902093e-15,6.445934e-15
3.638946e+04,1.497246e-17,2.444483e-16,2.028921e-15,7.529008e-15,9.900157e-15
4.818666e+04,2.241042e-17,3.658844e-16,3.036841e-15,1.126924e-14,1.481832e-14
6.380843e+04,3.403934e-17,5.557443e-16,4.612678e-15,1.711692e-14,2.250764e-14
