enNu(GeV),kappa_inf,kappa_th,kappa_h,kappa_10,kappa_1
1.000000e+02,1.289200e-28,2.104817e-27,1.746998e-26,6.482836e-26,8.524508e-26
1.324193e+02,1.289200e-28,2.104817e-27,1.746998e-26,6.482836e-26,8.524508e-26
1.753487e+02,3.460277e-19,5.649432e-18,4.689028e-17,1.740025e-16,2.288020e-16
2.321954e+02,1.289200e-28,2.104817e-27,1.746998e-26,6.482836e-26,8.524508e-26
3.074715e+02,6.920554e-19,1.129886e-17,9.378057e-17,3.480050e-16,4.576040e-16
4.071516e+02,5.363429e-18,8.756619e-17,7.267994e-16,2.697039e-15,3.546431e-15
5.391472e+02,9.738208e-18,1.589912e-16,1.319627e-15,4.896927e-15,6.439142e-15
7.139348e+02,2.076166e-17,3.389659e-16,2.813417e-15,1.044015e-14,1.372812e-14
9.453873e+02,1.866078e-17,3.046658e-16,2.528726e-15,9.383706e-15,1.233896e-14
1.251875e+03,1.609029e-17,2.626986e-16,2.180398e-15,8.091116e-15,1.063929e-14
1.657724e+03,2.130542e-17,3.478436e-16,2.887102e-15,1.071358e-14,1.408767e-14
2.195146e+03,1.791929e-17,2.925599e-16,2.428247e-15,9.010844e-15,1.184867e-14
2.906797e+03,2.931349e-17,4.785876e-16,3.972277e-15,1.474050e-14,1.938280e-14
3.849159e+03,3.588802e-17,5.859268e-16,4.863192e-15,1.804654e-14,2.373003e-14
5.097029e+03,4.041109e-17,6.597729e-16,5.476115e-15,2.032101e-14,2.672080e-14
6.749449e+03,7.054022e-17,1.151677e-15,9.558919e-15,3.547165e-14,4.664292e-14
8.937571e+03,8.705068e-17,1.421236e-15,1.179626e-14,4.377406e-14,5.756004e-14
1.183507e+04,1.020535e-16,1.666179e-15,1.382928e-14,5.131831e-14,6.748024e-14
1.567191e+04,1.150048e-16,1.877629e-15,1.558432e-14,5.783097e-14,7.604398e-14
2.075263e+04,1.456035e-16,2.377200e-15,1.973076e-14,7.321777e-14,9.627661e-14
2.748048e+04,2.235586e-16,3.649936e-15,3.029447e-14,1.124180e-13,1.478224e-13
3.638946e+04,2.901195e-16,4.736645e-15,3.931415e-14,1.458887e-13,1.918341e-13
4.818666e+04,3.669129e-16,5.990415e-15,4.972045e-14,1.845048e-13,2.426118e-13
6.380843e+04,4.708943e-16,7.688070e-15,6.381098e-14,2.367925e-13,3.113668e-13
8.449466e+04,4.868857e-16,7.949154e-15,6.597798e-14,2.448339e-13,3.219407e-13
1.118872e+05,5.736398e-16,9.365547e-15,7.773404e-14,2.884589e-13,3.793047e-13
1.481603e+05,6.802905e-16,1.110678e-14,9.218630e-14,3.420889e-13,4.498247e-13
1.961927e+05,8.921336e-16,1.456545e-14,1.208932e-13,4.486157e-13,5.899006e-13
2.597970e+05,9.238198e-16,1.508277e-14,1.251870e-13,4.645494e-13,6.108523e-13
3.440213e+05,1.071055e-15,1.748661e-14,1.451388e-13,5.385875e-13,7.082075e-13
4.555506e+05,9.126496e-16,1.490040e-14,1.236733e-13,4.589324e-13,6.034663e-13
6.032368e+05,6.219061e-16,1.015357e-14,8.427462e-14,3.127299e-13,4.112196e-13
7.988018e+05,3.453410e-16,5.638221e-15,4.679723e-14,1.736572e-13,2.283479e-13
1.057768e+06,1.162182e-16,1.897441e-15,1.574876e-14,5.844117e-14,7.684635e-14
1.400688e+06,1.049020e-16,1.712686e-15,1.421530e-14,5.275074e-14,6.936380e-14
1.854781e+06,1.595745e-16,2.605298e-15,2.162398e-14,8.024319e-14,1.055146e-13
2.456088e+06,1.433576e-16,2.340532e-15,1.942642e-14,7.208839e-14,9.479156e-14
3.252334e+06,1.576285e-16,2.573526e-15,2.136027e-14,7.926461e-14,1.042278e-13
4.306717e+06,1.369519e-16,2.235950e-15,1.855838e-14,6.886725e-14,9.055596e-14
5.702924e+06,2.490919e-16,4.066807e-15,3.375450e-14,1.252577e-13,1.647057e-13
7.551770e+06,3.869358e-16,6.317319e-15,5.243375e-14,1.945734e-13,2.558514e-13
1.000000e+07,4.364785e-16,7.126179e-15,5.914729e-14,2.194863e-13,2.886103e-13
1.324193e+07,6.837866e-16,1.116386e-14,9.266006e-14,3.438470e-13,4.521364e-13
1.753487e+07,7.068957e-16,1.154115e-14,9.579158e-14,3.554675e-13,4.674167e-13
2.321954e+07,9.209591e-16,1.503607e-14,1.247994e-13,4.631108e-13,6.089607e-13
3.074715e+07,1.053695e-15,1.720318e-14,1.427864e-13,5.298578e-13,6.967287e-13
4.071516e+07,1.767401e-15,2.885553e-14,2.395009e-13,8.887504e-13,1.168649e-12
5.391472e+07,2.566652e-15,4.190453e-14,3.478076e-13,1.290660e-12,1.697133e-12
7.139348e+07,3.788516e-15,6.185333e-14,5.133826e-13,1.905083e-12,2.505060e-12
9.453873e+07,3.830924e-15,6.254569e-14,5.191293e-13,1.926407e-12,2.533101e-12
1.251875e+08,3.904630e-15,6.374906e-14,5.291172e-13,1.963471e-12,2.581837e-12
1.657724e+08,2.701983e-15,4.411400e-14,3.661462e-13,1.358711e-12,1.786617e-12
2.195146e+08,1.691182e-15,2.761113e-14,2.291724e-13,8.504229e-13,1.118251e-12
2.906797e+08,1.204431e-15,1.966418e-14,1.632127e-13,6.056567e-13,7.963992e-13
3.849159e+08,8.715785e-16,1.422985e-14,1.181078e-13,4.382795e-13,5.763091e-13
5.097029e+08,7.313021e-16,1.193963e-14,9.909890e-14,3.677405e-13,4.835549e-13
6.749449e+08,2.474781e-14,4.040459e-13,3.353581e-12,1.244461e-11,1.636386e-11
8.937571e+08,2.229672e-14,3.640281e-13,3.021433e-12,1.121206e-11,1.474314e-11
1.183507e+09,1.728092e-14,2.821375e-13,2.341742e-12,8.689836e-12,1.142657e-11
1.567191e+09,1.297338e-14,2.118104e-13,1.758026e-12,6.523759e-12,8.578319e-12
2.075263e+09,1.195572e-14,1.951955e-13,1.620122e-12,6.012020e-12,7.905416e-12
2.748048e+09,8.341932e-15,1.361948e-13,1.130417e-12,4.194800e-12,5.515890e-12
3.638946e+09,5.803819e-15,9.475622e-14,7.864767e-13,2.918492e-12,3.837627e-12
4.818666e+09,2.351985e-15,3.839975e-14,3.187179e-13,1.182712e-12,1.555190e-12
6.380843e+09,3.722566e-16,6.077659e-15,5.044457e-14,1.871919e-13,2.461452e-13
8.449466e+09,3.384151e-17,5.525144e-16,4.585870e-15,1.701744e-14,2.237683e-14
1.118872e+10,4.324513e-30,7.060429e-29,5.860156e-28,2.174612e-27,2.859474e-27
1.481603e+10,4.324513e-30,7.060429e-29,5.860156e-28,2.174612e-27,2.859474e-27
1.961927e+10,4.324513e-30,7.060429e-29,5.860156e-28,2.174612e-27,2.859474e-27
2.597970e+10,4.324513e-30,7.060429e-29,5.860156e-28,2.174612e-27,2.859474e-27
3.440213e+10,4.324513e-30,7.060429e-29,5.860156e-28,2.174612e-27,2.859474e-27
4.555506e+10,4.324513e-30,7.060429e-29,5.860156e-28,2.174612e-27,2.859474e-27
6.032368e+10,4.324513e-30,7.060429e-29,5.860156e-28,2.174612e-27,2.859474e-27
7.988018e+10,4.324513e-30,7.060429e-29,5.860156e-28,2.174612e-27,2.859474e-27
1.057768e+11,4.324513e-30,7.060429e-29,5.860156e-28,2.174612e-27,2.859474e-27
1.400688e+11,4.324513e-30,7.060429e-29,5.860156e-28,2.174612e-27,2.859474e-27
1.854781e+11,4.324513e-30,7.060429e-29,5.860156e-28,2.174612e-27,2.859474e-27
2.456088e+11,4.324513e-30,7.060429e-29,5.860156e-28,2.174612e-27,2.859474e-27
3.252334e+11,4.324513e-30,7.060429e-29,5.860156e-28,2.174612e-27,2.859474e-27
4.306717e+11,4.324513e-30,7.060429e-29,5.860156e-28,2.174612e-27,2.859474e-27
5.702924e+11,4.324513e-30,7.060429e-29,5.860156e-28,2.174612e-27,2.859474e-27
7.551770e+11,4.324513e-30,7.060429e-29,5.860156e-28,2.174612e-27,2.859474e-27
